request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:1.5656e+07,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,689.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,100 minimum protected."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,13840360.0,affordable_later,wait,2024-09-15:1.8164e+07,2024-09-15,none,"Pay IDR 18,164,000 in full on 2024-09-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,33305.8,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Pay ZAR 40,018 in full on 2025-02-15. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,65180.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 102,100 minimum protected."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,125130.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 106,400 minimum protected."
request_36,1446.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the USD 2,400 minimum protected."
request_37,12068800.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,379.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the EUR 400 minimum protected.
request_39,203105.0,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600 in full on 2026-04-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,851.0,affordable_later,wait,2024-06-15:1290.3,2024-06-15,none,"Pay EUR 1,290.30 in full on 2024-06-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,21888950.0,affordable_later,wait,2025-11-15:3.876e+07,2025-11-15,none,"Pay IDR 38,760,000 in full on 2025-11-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,13988750.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 21,398,000 minimum protected."
request_44,74560.0,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Pay INR 95,800 in full on 2025-02-15. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,8833100.0,affordable_later,wait,2026-07-15:2.1983e+07,2026-07-15,none,"Pay IDR 21,983,000 in full on 2026-07-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 2024-12-03. This leaves at least INR 84,000 available."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:3.8114e+07,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,20228793.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-22. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2.191e+06,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,"Pay INR 28,870 today. This leaves at least INR 41,500 available over the next 90 days."
request_53,1423.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-20. None of the available options keeps the USD 2,100 minimum protected."
